ym,zip_code,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,incident_count
13-11,11377,32,0,5,0,3,0,24,0,119
13-11,11378,14,0,2,0,4,0,8,0,61
13-11,11379,13,0,2,0,0,0,11,0,50
13-11,11385,27,0,7,0,0,0,20,0,159
13-11,11411,9,0,1,0,1,0,7,0,28
13-11,11412,20,0,5,0,0,0,15,0,54
13-11,11413,29,0,5,0,1,0,23,0,81
13-11,11414,26,1,4,0,0,0,22,1,41
13-11,11415,7,0,1,0,0,0,6,0,38
13-11,11416,9,0,2,0,0,0,7,0,40
13-11,11417,15,0,4,0,0,0,11,0,71
13-11,11418,10,0,3,0,2,0,5,0,60
13-11,11419,26,0,4,0,2,0,20,0,82
13-11,11420,24,0,3,0,0,0,21,0,65
13-11,11421,11,0,2,0,0,0,9,0,44
13-11,11422,27,0,3,0,1,0,23,0,74
13-11,11423,12,0,5,0,0,0,7,0,60
13-11,11426,4,0,0,0,0,0,4,0,34
13-11,11427,20,0,1,0,0,0,19,0,43
13-11,11428,3,0,1,0,0,0,2,0,30
13-11,11429,11,0,3,0,0,0,8,0,44
13-11,11430,0,0,0,0,0,0,0,0,2
13-11,11432,22,0,10,0,0,0,12,0,103
13-11,11433,13,0,3,0,2,0,8,0,51
13-11,11434,44,1,10,1,2,0,32,0,143
13-11,11435,27,0,5,0,3,0,19,0,98
13-11,11436,14,0,0,0,1,0,13,0,29
13-11,11691,27,0,2,0,2,0,23,0,60
13-11,11692,5,0,1,0,0,0,4,0,18
13-11,11693,3,0,2,0,0,0,1,0,11
13-11,11694,1,0,1,0,0,0,0,0,12
13-11,11697,0,0,0,0,0,0,0,0,3
13-12,10000,0,0,0,0,0,0,0,0,1
13-12,10001,23,0,12,0,6,0,5,0,160
13-12,10002,24,0,7,0,6,0,11,0,127
13-12,10003,19,0,15,0,0,0,4,0,104
13-12,10004,3,0,1,0,0,0,2,0,16
13-12,10005,1,0,1,0,0,0,0,0,14
13-12,10006,3,0,0,0,0,0,3,0,18
13-12,10007,5,0,4,0,0,0,1,0,36
13-12,10009,9,0,3,0,2,0,4,0,49
13-12,10010,22,0,12,0,2,0,8,0,82
13-12,10011,23,0,9,0,1,0,13,0,124
13-12,10012,13,0,7,0,1,0,5,0,73
13-12,10013,13,0,7,0,1,0,5,0,129
13-12,10014,4,0,4,0,0,0,0,0,77
13-12,10016,28,0,15,0,2,0,11,0,199
13-12,10017,20,0,12,0,1,0,7,0,118
13-12,10018,16,0,5,0,1,0,10,0,144
13-12,10019,20,0,9,0,1,0,10,0,230
13-12,10020,1,0,0,0,1,0,0,0,11
13-12,10021,4,0,2,0,1,0,1,0,79
13-12,10022,35,1,21,1,5,0,9,0,213
13-12,10023,8,0,6,0,1,0,1,0,88
13-12,10024,9,0,6,0,0,0,3,0,67
13-12,10025,17,0,13,0,2,0,2,0,78
13-12,10026,3,0,0,0,0,0,3,0,30
13-12,10027,16,0,8,0,0,0,8,0,96
13-12,10028,7,0,3,0,1,0,3,0,68
13-12,10029,20,0,11,0,2,0,7,0,114
13-12,10030,13,0,6,0,0,0,7,0,39
13-12,10031,17,0,12,0,1,0,4,0,55
13-12,10032,20,1,5,1,2,0,13,0,66
13-12,10033,20,0,7,0,3,0,10,0,64
13-12,10034,14,0,2,0,1,0,11,0,47
13-12,10035,13,0,5,0,3,0,5,0,94
13-12,10036,20,0,9,0,5,0,6,0,194
13-12,10037,18,0,8,0,0,0,10,0,40
13-12,10038,2,0,2,0,0,0,0,0,25
13-12,10039,7,0,2,0,1,0,4,0,27
13-12,10040,7,0,3,0,0,0,4,0,31
13-12,10065,10,0,3,0,0,0,7,0,99
13-12,10069,0,0,0,0,0,0,0,0,2
13-12,10075,7,0,6,0,0,0,1,0,38
13-12,10119,0,0,0,0,0,0,0,0,4
13-12,10128,14,0,7,0,1,0,6,0,81
13-12,10280,2,0,0,0,1,0,1,0,3
13-12,10301,18,0,4,0,0,0,14,0,83
13-12,10302,1,0,0,0,0,0,1,0,1
13-12,10303,0,0,0,0,0,0,0,0,1
13-12,10304,23,1,5,0,0,0,18,1,81
13-12,10305,16,0,1,0,0,0,15,0,77
13-12,10306,20,1,3,1,0,0,17,0,125
13-12,10307,2,0,1,0,0,0,1,0,21
13-12,10308,10,0,2,0,0,0,8,0,29
13-12,10309,8,0,1,0,0,0,7,0,47
13-12,10310,10,0,2,0,0,0,8,0,53
13-12,10312,17,0,1,0,0,0,16,0,85
13-12,10314,4,0,0,0,0,0,4,0,23
13-12,10451,24,0,7,0,0,0,17,0,78
13-12,10452,16,0,7,0,0,0,9,0,60
13-12,10453,25,0,9,0,1,0,15,0,79
13-12,10454,9,0,1,0,2,0,6,0,53
13-12,10455,16,0,9,0,0,0,7,0,47
13-12,10456,20,0,11,0,1,0,8,0,63
13-12,10457,23,0,6,0,0,0,17,0,62
13-12,10458,29,0,8,0,0,0,21,0,98
13-12,10459,39,0,17,0,0,0,22,0,81
13-12,10460,33,0,10,0,0,0,23,0,70
13-12,10461,20,1,6,0,0,0,14,1,90
13-12,10462,33,0,5,0,0,0,28,0,92
13-12,10463,6,0,3,0,0,0,3,0,55
13-12,10464,1,0,0,0,0,0,1,0,2
13-12,10465,14,0,2,0,0,0,12,0,47
13-12,10466,16,0,6,0,0,0,10,0,74
13-12,10467,30,0,10,0,0,0,20,0,143
13-12,10468,32,0,10,0,0,0,22,0,90
13-12,10469,24,0,3,0,2,0,19,0,81
13-12,10470,20,0,6,0,0,0,14,0,38
13-12,10471,3,0,0,0,1,0,2,0,23
13-12,10472,16,0,12,0,1,0,3,0,65
13-12,10473,21,0,10,0,1,0,10,0,58
13-12,10474,4,0,2,0,0,0,2,0,32
13-12,10475,5,0,1,0,0,0,4,0,44
13-12,11001,1,0,0,0,0,0,1,0,5
13-12,11004,15,0,2,0,0,0,13,0,34
13-12,11005,0,0,0,0,0,0,0,0,1
13-12,11040,5,0,0,0,0,0,5,0,5
13-12,11101,32,0,11,0,2,0,19,0,196
13-12,11102,9,0,2,0,1,0,6,0,53
13-12,11103,5,0,2,0,1,0,2,0,51
13-12,11104,10,0,2,0,3,0,5,0,36
13-12,11105,5,0,3,0,0,0,2,0,29
13-12,11106,24,0,10,0,2,0,12,0,58
13-12,11201,28,0,10,0,0,0,18,0,158
13-12,11203,68,1,8,1,0,0,60,0,157
13-12,11204,32,0,11,0,4,0,17,0,113
13-12,11205,25,0,2,0,3,0,20,0,75
13-12,11206,36,0,15,0,4,0,17,0,117
13-12,11207,82,0,13,0,2,0,67,0,208
13-12,11208,30,1,11,0,1,0,18,1,145
13-12,11209,15,0,7,0,1,0,7,0,87
13-12,11210,47,0,8,0,2,0,37,0,97
13-12,11211,32,0,9,0,6,0,17,0,103
13-12,11212,48,0,10,0,1,0,37,0,110
13-12,11213,50,0,16,0,3,0,31,0,136
13-12,11214,27,0,9,0,2,0,16,0,99
13-12,11215,12,0,6,0,3,0,3,0,86
13-12,11216,35,0,10,0,3,0,22,0,116
13-12,11217,24,0,4,0,1,0,19,0,103
13-12,11218,34,0,8,0,0,0,26,0,96
13-12,11219,20,0,11,0,1,0,8,0,107
13-12,11220,27,0,9,0,4,0,14,0,131
13-12,11221,31,0,8,0,1,0,22,0,102
13-12,11222,7,1,1,1,1,0,5,0,89
13-12,11223,27,0,12,0,3,0,12,0,117
13-12,11224,9,0,6,0,0,0,3,0,52
13-12,11225,21,0,9,0,2,0,10,0,85
13-12,11226,63,0,19,0,4,0,40,0,145
13-12,11228,14,0,4,0,0,0,10,0,61
13-12,11229,40,0,22,0,1,0,17,0,127
13-12,11230,48,0,14,0,4,0,30,0,139
13-12,11231,14,0,1,0,1,0,12,0,50
13-12,11232,16,0,7,0,2,0,7,0,75
13-12,11233,52,0,12,0,1,0,39,0,115
13-12,11234,50,0,8,0,1,0,41,0,173
13-12,11235,25,0,9,0,2,0,14,0,108
13-12,11236,57,1,15,1,1,0,41,0,143
13-12,11237,18,0,8,0,1,0,9,0,78
13-12,11238,20,0,8,0,2,0,10,0,86
13-12,11239,7,0,1,0,0,0,6,0,13
13-12,11249,12,0,2,0,0,0,10,0,26
13-12,11354,26,0,9,0,1,0,16,0,135
13-12,11355,21,0,15,0,0,0,6,0,104
13-12,11356,3,0,0,0,0,0,3,0,29
13-12,11357,10,0,4,0,0,0,6,0,37
13-12,11358,23,1,7,0,0,0,16,1,85
13-12,11360,2,0,1,0,0,0,1,0,13
13-12,11361,7,0,5,0,0,0,2,0,61
13-12,11362,6,0,1,0,0,0,5,0,25
13-12,11363,2,0,0,0,0,0,2,0,12
13-12,11364,10,0,2,0,0,0,8,0,31
13-12,11365,1,0,0,0,0,0,1,0,47
13-12,11366,7,0,2,0,0,0,5,0,20
13-12,11367,7,0,3,0,1,0,3,0,51
13-12,11368,24,0,10,0,4,0,10,0,102
13-12,11369,21,0,4,0,2,0,15,0,58
13-12,11370,9,0,0,0,0,0,9,0,39
13-12,11372,31,0,8,0,0,0,23,0,95
13-12,11373,27,1,13,1,1,0,13,0,114
13-12,11374,12,0,7,0,0,0,5,0,86
13-12,11375,18,0,8,0,2,0,8,0,98
13-12,11377,23,3,6,2,2,0,15,1,113
13-12,11378,11,0,0,0,0,0,11,0,73
13-12,11379,18,0,4,0,0,0,14,0,72
13-12,11385,16,0,8,0,0,0,8,0,144
13-12,11411,11,0,1,0,0,0,10,0,34
13-12,11412,24,0,2,0,2,0,20,0,66
13-12,11413,22,0,6,0,0,0,16,0,84
13-12,11414,8,0,2,0,0,0,6,0,30
13-12,11415,1,0,0,0,0,0,1,0,23
13-12,11416,21,0,4,0,0,0,17,0,48
13-12,11417,15,0,7,0,0,0,8,0,56
13-12,11418,11,0,5,0,1,0,5,0,49
13-12,11419,17,0,4,0,0,0,13,0,69
13-12,11420,26,0,5,0,0,0,21,0,59
13-12,11421,16,1,4,1,1,0,11,0,51
13-12,11422,37,0,4,0,0,0,33,0,83
13-12,11423,3,0,1,0,0,0,2,0,43
13-12,11426,11,0,3,0,0,0,8,0,21
13-12,11427,17,0,4,0,0,0,13,0,28
13-12,11428,5,0,0,0,0,0,5,0,37
13-12,11429,5,0,0,0,0,0,5,0,47
13-12,11430,1,0,0,0,0,0,1,0,3
13-12,11432,31,0,13,0,0,0,18,0,129
13-12,11433,31,0,8,0,2,0,21,0,56
13-12,11434,49,0,10,0,0,0,39,0,132
13-12,11435,22,0,7,0,0,0,15,0,76
13-12,11436,3,0,0,0,0,0,3,0,24
13-12,11691,16,0,3,0,2,0,11,0,50
13-12,11692,9,0,2,0,0,0,7,0,14
13-12,11693,4,0,1,0,0,0,3,0,14
13-12,11694,8,0,3,0,0,0,5,0,22
13-12,11697,0,0,0,0,0,0,0,0,2
14-01,10001,23,0,5,0,2,0,16,0,170
14-01,10002,30,0,10,0,0,0,20,0,113
14-01,10003,16,0,8,0,0,0,8,0,95
14-01,10004,2,0,1,0,0,0,1,0,19
14-01,10005,0,0,0,0,0,0,0,0,8
14-01,10006,5,0,2,0,0,0,3,0,22
14-01,10007,3,0,2,0,1,0,0,0,36
14-01,10009,18,0,12,0,2,0,4,0,68
14-01,10010,16,0,7,0,7,0,2,0,85
14-01,10011,15,0,7,0,1,0,7,0,98
14-01,10012,14,0,8,0,1,0,5,0,79
14-01,10013,19,0,8,0,2,0,9,0,107
14-01,10014,11,0,9,0,0,0,2,0,59
14-01,10016,33,0,15,0,2,0,16,0,168
14-01,10017,14,0,8,0,1,0,5,0,96
14-01,10018,12,1,10,0,1,0,1,1,120
14-01,10019,23,0,10,0,3,0,10,0,169
14-01,10020,0,0,0,0,0,0,0,0,8
14-01,10021,15,0,0,0,1,0,14,0,88
14-01,10022,33,0,13,0,1,0,19,0,181
14-01,10023,9,0,6,0,1,0,2,0,79
14-01,10024,10,0,2,0,0,0,8,0,73
14-01,10025,11,3,7,3,2,0,2,0,71
14-01,10026,6,0,3,0,0,0,3,0,27
14-01,10027,30,1,11,0,0,1,19,0,93
14-01,10028,8,0,5,0,1,0,2,0,56
14-01,10029,29,0,16,0,1,0,12,0,113
14-01,10030,12,0,5,0,1,0,6,0,29
14-01,10031,1,0,1,0,0,0,0,0,37
14-01,10032,19,0,9,0,0,0,10,0,68
14-01,10033,8,0,6,0,0,0,2,0,58
14-01,10034,8,0,3,0,0,0,5,0,38
14-01,10035,31,0,11,0,0,0,20,0,88
14-01,10036,24,0,14,0,3,0,7,0,146
14-01,10037,14,0,5,0,0,0,9,0,32
14-01,10038,4,0,4,0,0,0,0,0,27
14-01,10039,4,0,2,0,0,0,2,0,26
14-01,10040,5,0,2,0,1,0,2,0,24
14-01,10065,13,0,7,0,2,0,4,0,126
14-01,10069,0,0,0,0,0,0,0,0,5
14-01,10075,3,0,1,0,0,0,2,0,34
14-01,10119,1,0,0,0,0,0,1,0,4
14-01,10128,18,0,10,0,3,0,5,0,90
14-01,10280,1,0,1,0,0,0,0,0,5
14-01,10281,0,0,0,0,0,0,0,0,1
14-01,10282,0,0,0,0,0,0,0,0,1
14-01,10301,14,1,2,0,1,0,11,1,80
14-01,10302,0,0,0,0,0,0,0,0,1
14-01,10304,18,0,7,0,0,0,11,0,82
14-01,10305,31,1,9,1,0,0,22,0,94
14-01,10306,26,1,4,0,0,0,22,1,102
14-01,10307,3,0,0,0,0,0,3,0,18
14-01,10308,10,0,0,0,0,0,10,0,32
14-01,10309,7,0,1,0,0,0,6,0,61
14-01,10310,6,0,3,0,0,0,3,0,42
14-01,10312,16,0,3,0,0,0,13,0,77
14-01,10314,7,0,2,0,0,0,5,0,38
14-01,10451,28,0,8,0,0,0,20,0,90
14-01,10452,17,0,6,0,0,0,11,0,58
14-01,10453,34,0,8,0,0,0,26,0,74
14-01,10454,17,0,5,0,0,0,12,0,54
14-01,10455,13,0,4,0,0,0,9,0,41
14-01,10456,27,0,8,0,1,0,18,0,70
14-01,10457,32,0,10,0,0,0,22,0,86
14-01,10458,30,1,11,1,0,0,19,0,95
14-01,10459,26,0,6,0,0,0,20,0,61
14-01,10460,25,2,6,2,0,0,19,0,68
14-01,10461,11,0,1,0,0,0,10,0,82
14-01,10462,17,0,6,0,0,0,11,0,64
14-01,10463,10,0,4,0,0,0,6,0,68
14-01,10464,1,0,0,0,0,0,1,0,6
14-01,10465,15,0,3,0,0,0,12,0,45
14-01,10466,31,0,7,0,0,0,24,0,111
14-01,10467,25,0,8,0,0,0,17,0,108
14-01,10468,25,0,12,0,3,0,10,0,107
14-01,10469,39,0,3,0,0,0,36,0,97
14-01,10470,6,0,1,0,0,0,5,0,44
14-01,10471,5,0,0,0,0,0,5,0,18
14-01,10472,11,0,5,0,0,0,6,0,57
14-01,10473,16,0,5,0,1,0,10,0,61
14-01,10474,10,0,3,0,1,0,6,0,33
14-01,10475,6,0,3,0,0,0,3,0,37
14-01,11001,0,0,0,0,0,0,0,0,10
14-01,11004,4,0,2,0,0,0,2,0,27
14-01,11005,0,0,0,0,0,0,0,0,2
14-01,11040,2,0,0,0,0,0,2,0,7
14-01,11101,39,0,4,0,5,0,30,0,218
14-01,11102,6,0,5,0,1,0,0,0,41
14-01,11103,6,0,4,0,1,0,1,0,48
14-01,11104,9,0,2,0,0,0,7,0,30
14-01,11105,7,0,4,0,1,0,2,0,33
14-01,11106,19,0,8,0,1,0,10,0,61
14-01,11109,0,0,0,0,0,0,0,0,1
14-01,11201,26,0,14,0,0,0,12,0,156
14-01,11203,62,0,11,0,0,0,51,0,155
14-01,11204,29,0,14,0,1,0,14,0,124
14-01,11205,18,0,6,0,1,0,11,0,58
14-01,11206,42,1,11,1,4,0,27,0,130
14-01,11207,81,0,14,0,2,0,65,0,231
14-01,11208,44,1,8,1,0,0,36,0,116
14-01,11209,16,0,6,0,1,0,9,0,80
14-01,11210,23,0,12,0,1,0,10,0,100
14-01,11211,37,0,12,0,5,0,20,0,128
14-01,11212,47,0,10,0,1,0,36,0,126
14-01,11213,59,0,12,0,1,0,46,0,139
14-01,11214,28,0,10,0,4,0,14,0,97
14-01,11215,15,0,4,0,2,0,9,0,103
14-01,11216,21,1,12,0,0,0,9,1,99
14-01,11217,14,0,7,0,1,0,6,0,83
14-01,11218,22,0,10,0,2,0,10,0,94
14-01,11219,13,0,9,0,0,0,4,0,107
14-01,11220,36,1,11,1,1,0,24,0,147
14-01,11221,30,0,7,0,3,0,20,0,82
14-01,11222,6,0,1,0,0,0,5,0,70
14-01,11223,17,0,7,0,1,0,9,0,97
14-01,11224,13,0,5,0,1,0,7,0,44
14-01,11225,22,0,10,0,0,0,12,0,80
14-01,11226,50,0,16,0,3,0,31,0,136
14-01,11228,16,0,2,0,0,0,14,0,58
14-01,11229,18,0,9,0,1,0,8,0,104
14-01,11230,46,0,13,0,0,0,33,0,117
14-01,11231,3,0,2,0,0,0,1,0,39
14-01,11232,19,0,9,0,1,0,9,0,88
14-01,11233,33,0,12,0,1,0,20,0,108
14-01,11234,34,0,5,0,1,0,28,0,147
14-01,11235,20,0,6,0,3,0,11,0,119
14-01,11236,44,1,6,0,0,0,38,1,139
14-01,11237,15,0,4,0,0,0,11,0,73
14-01,11238,22,0,5,0,0,0,17,0,88
14-01,11239,4,0,2,0,0,0,2,0,12
14-01,11249,7,0,3,0,0,0,4,0,42
14-01,11354,28,0,13,0,1,0,14,0,118
14-01,11355,20,0,18,0,0,0,2,0,111
14-01,11356,2,0,2,0,0,0,0,0,49
14-01,11357,12,0,2,0,0,0,10,0,41
14-01,11358,12,0,2,0,0,0,10,0,58
14-01,11360,4,0,1,0,0,0,3,0,15
14-01,11361,8,0,5,0,0,0,3,0,55
14-01,11362,3,0,0,0,0,0,3,0,20
14-01,11363,2,0,2,0,0,0,0,0,11
14-01,11364,6,0,0,0,0,0,6,0,36
14-01,11365,4,0,0,0,0,0,4,0,32
14-01,11366,11,0,3,0,1,0,7,0,33
14-01,11367,9,0,2,0,0,0,7,0,57
14-01,11368,14,0,4,0,1,0,9,0,78
14-01,11369,18,0,4,0,1,0,13,0,56
14-01,11370,5,0,2,0,0,0,3,0,39
14-01,11372,19,0,12,0,3,0,4,0,107
14-01,11373,22,0,14,0,3,0,5,0,128
14-01,11374,7,0,4,0,0,0,3,0,65
14-01,11375,19,0,9,0,1,0,9,0,88
14-01,11377,35,0,6,0,1,0,28,0,120
14-01,11378,16,0,5,0,0,0,11,0,69
14-01,11379,7,0,3,0,0,0,4,0,44
14-01,11385,21,0,6,0,0,0,15,0,135
14-01,11411,10,0,3,0,0,0,7,0,33
14-01,11412,28,0,4,0,0,0,24,0,60
14-01,11413,30,0,5,0,0,0,25,0,88
14-01,11414,6,0,2,0,0,0,4,0,28
14-01,11415,1,0,1,0,0,0,0,0,26
14-01,11416,8,0,3,0,0,0,5,0,37
14-01,11417,17,0,4,0,1,0,12,0,51
14-01,11418,10,0,4,0,0,0,6,0,51
14-01,11419,21,0,7,0,1,0,13,0,71
14-01,11420,23,0,3,0,0,0,20,0,78
14-01,11421,18,0,5,0,0,0,13,0,49
14-01,11422,19,0,2,0,0,0,17,0,68
14-01,11423,17,0,3,0,0,0,14,0,62
14-01,11426,8,0,0,0,0,0,8,0,33
14-01,11427,9,0,1,0,0,0,8,0,25
14-01,11428,5,0,4,0,0,0,1,0,29
14-01,11429,6,0,3,0,0,0,3,0,34
14-01,11430,1,0,0,0,0,0,1,0,2
14-01,11432,20,1,12,1,0,0,8,0,98
14-01,11433,16,0,4,0,0,0,12,0,67
14-01,11434,41,0,3,0,0,0,38,0,141
14-01,11435,19,0,5,0,1,0,13,0,102
14-01,11436,6,0,1,0,0,0,5,0,28
14-01,11691,5,0,2,0,0,0,3,0,47
14-01,11692,4,0,0,0,0,0,4,0,10
14-01,11693,3,0,0,0,0,0,3,0,19
14-01,11694,2,0,1,0,0,0,1,0,15
14-02,10001,12,0,10,0,0,0,2,0,152
14-02,10002,13,0,7,0,2,0,4,0,113
14-02,10003,13,0,6,0,3,0,4,0,81
14-02,10004,1,0,0,0,0,0,1,0,24
14-02,10005,1,0,1,0,0,0,0,0,14
14-02,10006,2,0,1,0,0,0,1,0,18
14-02,10007,6,0,2,0,1,0,3,0,40
14-02,10009,9,0,6,0,1,0,2,0,52
14-02,10010,20,0,10,0,2,0,8,0,68
14-02,10011,32,0,10,0,2,0,20,0,110
14-02,10012,23,0,15,0,1,0,7,0,92
14-02,10013,21,0,12,0,2,0,7,0,139
14-02,10014,10,0,7,0,0,0,3,0,78
14-02,10016,19,0,14,0,2,0,3,0,132
14-02,10017,17,0,9,0,4,0,4,0,84
14-02,10018,9,0,6,0,1,0,2,0,95
14-02,10019,21,0,9,0,3,0,9,0,148
14-02,10020,1,0,1,0,0,0,0,0,7
14-02,10021,5,0,3,0,1,0,1,0,42
14-02,10022,17,0,11,0,1,0,5,0,138
14-02,10023,10,0,2,0,1,0,7,0,67
14-02,10024,14,0,6,0,2,0,6,0,75
14-02,10025,15,0,10,0,1,0,4,0,79
14-02,10026,13,0,1,0,3,0,9,0,40
14-02,10027,20,0,12,0,1,0,7,0,94
14-02,10028,5,0,2,0,1,0,2,0,34
14-02,10029,22,0,5,0,1,0,16,0,85
14-02,10030,4,0,4,0,0,0,0,0,30
14-02,10031,9,0,6,0,1,0,2,0,51
14-02,10032,7,0,5,0,1,0,1,0,63
14-02,10033,13,0,6,0,2,0,5,0,64
14-02,10034,4,0,1,0,0,0,3,0,45
14-02,10035,14,0,8,0,0,0,6,0,71
14-02,10036,19,0,8,0,2,0,9,0,136
14-02,10037,9,0,1,0,0,0,8,0,28
14-02,10038,4,0,3,0,0,0,1,0,30
14-02,10039,0,0,0,0,0,0,0,0,24
14-02,10040,4,0,0,0,0,0,4,0,35
14-02,10065,17,0,10,0,0,0,7,0,121
14-02,10069,0,0,0,0,0,0,0,0,5
14-02,10075,8,0,5,0,0,0,3,0,47
14-02,10119,0,0,0,0,0,0,0,0,1
14-02,10128,7,0,2,0,2,0,3,0,55
14-02,10280,0,0,0,0,0,0,0,0,5
14-02,10282,1,0,1,0,0,0,0,0,2
14-02,10301,22,0,6,0,0,0,16,0,107
14-02,10302,1,0,0,0,0,0,1,0,3
14-02,10303,0,0,0,0,0,0,0,0,1
14-02,10304,12,0,4,0,0,0,8,0,83
14-02,10305,16,0,3,0,0,0,13,0,83
14-02,10306,13,0,3,0,0,0,10,0,91
14-02,10307,0,0,0,0,0,0,0,0,13
14-02,10308,6,0,0,0,1,0,5,0,32
14-02,10309,10,0,1,0,0,0,9,0,46
14-02,10310,8,0,1,0,0,0,7,0,55
14-02,10312,23,0,2,0,0,0,21,0,62
14-02,10314,4,0,2,0,0,0,2,0,36
14-02,10451,23,0,3,0,0,0,20,0,88
14-02,10452,15,0,7,0,0,0,8,0,57
14-02,10453,21,0,7,0,0,0,14,0,81
14-02,10454,8,0,2,0,1,0,5,0,46
14-02,10455,14,0,7,0,0,0,7,0,57
14-02,10456,21,0,9,0,1,0,11,0,60
14-02,10457,19,0,2,0,0,0,17,0,81
14-02,10458,23,0,7,0,0,0,16,0,106
14-02,10459,23,0,7,0,0,0,16,0,70
14-02,10460,9,0,3,0,0,0,6,0,68
14-02,10461,13,0,2,0,0,0,11,0,97
14-02,10462,11,0,5,0,0,0,6,0,76
14-02,10463,6,0,3,0,0,0,3,0,63
14-02,10464,1,0,1,0,0,0,0,0,4
14-02,10465,11,0,0,0,1,0,10,0,54
14-02,10466,19,0,4,0,0,0,15,0,105
14-02,10467,25,0,4,0,0,0,21,0,132
14-02,10468,11,0,2,0,0,0,9,0,89
14-02,10469,18,0,6,0,0,0,12,0,93
14-02,10470,3,0,2,0,0,0,1,0,41
14-02,10471,0,0,0,0,0,0,0,0,22
14-02,10472,11,1,8,0,1,0,2,1,46
14-02,10473,14,0,3,0,0,0,11,0,52
14-02,10474,3,0,0,0,0,0,3,0,42
14-02,10475,7,0,2,0,0,0,5,0,58
14-02,11001,3,0,0,0,0,0,3,0,5
14-02,11004,3,0,0,0,0,0,3,0,19
14-02,11040,0,0,0,0,0,0,0,0,2
14-02,11101,34,0,7,0,0,0,27,0,200
14-02,11102,4,0,2,0,1,0,1,0,39
14-02,11103,1,0,0,0,0,0,1,0,36
14-02,11104,11,0,6,0,0,0,5,0,33
14-02,11105,4,0,1,0,0,0,3,0,29
14-02,11106,17,0,6,0,0,0,11,0,60
14-02,11109,0,0,0,0,0,0,0,0,1
14-02,11201,29,0,4,0,3,0,22,0,167
14-02,11203,40,0,8,0,1,0,31,0,123
14-02,11204,26,0,3,0,0,0,23,0,95
14-02,11205,14,0,6,0,3,0,5,0,64
14-02,11206,25,1,12,1,1,0,12,0,110
14-02,11207,91,1,10,1,1,0,80,0,217
14-02,11208,35,0,5,0,0,0,30,0,121
14-02,11209,9,0,2,0,0,0,7,0,77
14-02,11210,31,0,6,0,0,0,25,0,94
14-02,11211,24,0,9,0,5,0,10,0,118
14-02,11212,35,0,9,0,1,0,25,0,93
14-02,11213,14,1,3,1,0,0,11,0,106
14-02,11214,16,0,5,0,1,0,10,0,68
14-02,11215,14,0,3,0,2,0,9,0,83
14-02,11216,18,0,7,0,0,0,11,0,99
14-02,11217,15,0,3,0,1,0,11,0,85
14-02,11218,18,0,5,0,0,0,13,0,90
14-02,11219,18,0,3,0,1,0,14,0,94
14-02,11220,22,1,13,1,0,0,9,0,134
14-02,11221,21,0,6,0,0,0,15,0,89
14-02,11222,9,0,1,0,1,0,7,0,85
14-02,11223,14,0,6,0,0,0,8,0,107
14-02,11224,8,0,4,0,0,0,4,0,43
14-02,11225,26,1,5,0,0,1,21,0,85
14-02,11226,25,0,9,0,2,0,14,0,111
14-02,11228,10,0,0,0,0,0,10,0,48
14-02,11229,20,0,8,0,1,0,11,0,86
14-02,11230,24,0,10,0,1,0,13,0,130
14-02,11231,0,0,0,0,0,0,0,0,41
14-02,11232,12,0,1,0,1,0,10,0,57
14-02,11233,24,0,2,0,1,0,21,0,97
14-02,11234,29,0,4,0,0,0,25,0,124
14-02,11235,14,1,7,1,0,0,7,0,92
14-02,11236,43,0,6,0,0,0,37,0,137
14-02,11237,3,0,1,0,0,0,2,0,60
14-02,11238,32,0,11,0,0,0,21,0,95
14-02,11239,4,0,1,0,0,0,3,0,16
14-02,11249,1,0,1,0,0,0,0,0,51
14-02,11354,13,0,7,0,0,0,6,0,113
14-02,11355,11,0,5,0,0,0,6,0,105
14-02,11356,4,0,1,0,0,0,3,0,61
14-02,11357,5,0,2,0,0,0,3,0,36
14-02,11358,4,0,2,0,0,0,2,0,49
14-02,11360,1,0,1,0,0,0,0,0,16
14-02,11361,5,0,1,0,0,0,4,0,59
14-02,11362,1,0,0,0,0,0,1,0,22
14-02,11363,1,0,0,0,0,0,1,0,14
14-02,11364,8,0,2,0,0,0,6,0,43
14-02,11365,7,0,0,0,0,0,7,0,34
14-02,11366,2,0,1,0,0,0,1,0,22
14-02,11367,5,0,1,0,0,0,4,0,64
14-02,11368,12,0,6,0,1,0,5,0,87
14-02,11369,15,0,4,0,0,0,11,0,70
14-02,11370,12,0,3,0,0,0,9,0,44
14-02,11372,17,1,5,1,0,0,12,0,106
14-02,11373,23,0,10,0,0,0,13,0,90
14-02,11374,11,0,2,0,1,0,8,0,62
14-02,11375,18,0,7,0,0,0,11,0,93
14-02,11377,27,0,6,0,4,0,17,0,130
14-02,11378,6,0,3,0,2,0,1,0,95
14-02,11379,6,0,5,0,0,0,1,0,51
14-02,11385,19,0,4,0,1,0,14,0,118
14-02,11411,4,0,1,0,0,0,3,0,35
14-02,11412,13,0,2,0,0,0,11,0,54
14-02,11413,24,0,5,0,0,0,19,0,91
14-02,11414,7,0,2,0,0,0,5,0,35
14-02,11415,3,0,0,0,0,0,3,0,20
